merchant_id	restaurant_name	item_id	item_name	item_short_description	category_name
2	Pizza &amp; Wing	42	Скандинавская с курицей — викинги бы одобрили	Курица и бекон — северные братья. Руккола и черри притворяются салатом, но сыр и соус всё решают. Маслины и масло унесут тебя на фьорды прямо с дивана. Съел кусок — и хочется в мех и кричать «Йоу!».	Pizza
2	Pizza &amp; Wing	43	Ростбиф с чили	Тесто для пиццы, красный соус, говядина, моцарелла, пармезан, холопеньо, лук репчатый, лук зеленый, шрирача, ароматное масло	Pizza
2	Pizza &amp; Wing	44	Груша с голубым сыром	Тесто для пиццы, соус сливочный, груша, дор блю, мёд, грецкий орех, моцарелла, базилик, ароматное масло	Pizza
2	Pizza &amp; Wing	45	Сёмга и руккола	Тесто для пиццы, соус сливочный, лосось, каперси, крем чиз, сливки, руккола, микс черри, оливки, маслины, пармезан, ароматное масло	Pizza
2	Pizza &amp; Wing	46	Охотничьи колбаски	Тесто для пиццы, красный соус, колбаса охотничяя, капчёная колбаса, сосиськи куриные, огурецы солёные, лук репчатый, моцарелла, ароматное масло	Pizza
2	Pizza &amp; Wing	47	Курица с ананасом	Тесто для пиццы, соус сливочный, курица, ветчина, моцарелла, оливки, ананас, кукуруза, ароматное масло	Pizza
2	Pizza &amp; Wing	48	Пять сыров	Тесто для пиццы, соус сливочный, крем чиз, моцарелла, пармезан, дор блю, Чеддер, базилик, ароматное масло	Pizza
2	Pizza &amp; Wing	32	Цезарь с креветками	Креветки, капуста пекинская, лист салата, черри, пармезан, яйцо перепелиные, сухари, соус	Salads
2	Pizza &amp; Wing	33	Цезарь с куриной грудкой	Капуста пекинская, латук, курица,черри, пармезан, сухари, яйцы перепелиные, белый соус	Salads
2	Pizza &amp; Wing	34	Цезарь с тунцом	Капуста пекинская, лист салата, тунец,черри, пармезан, сухари, яйцо перепелиные, сливочный соус	Salads
2	Pizza &amp; Wing	30	Суп-пюре с курицей	Курица, куриный бульон, картофель, морковь, сливки, укроп	Soups
2	Pizza &amp; Wing	31	Суп куриный с лапшой	Бульон куриный, курица, овощи свежие, лапша, укроп	Soups
2	Pizza &amp; Wing	35	Крылышки панко	Крылышки, чеснок, мука, крахмал кукурузный, паприка молотая	Wings
2	Pizza &amp; Wing	36	Крылышки KFC	Крылышки, чеснок, мука, крахмал кукурузный, паприка молотая	Wings
2	Pizza &amp; Wing	37	Крылышки баффало	Крылышки, красный соус, кетчуп острый, чеснок, бибяр, кунжут, лук зелaеный	Wings
2	Pizza &amp; Wing	38	Крылышки горчично-медовом соусе	Крылышки, чеснок, мёд, кинза, кунжут, соуса	Wings
2	Pizza &amp; Wing	39	Крылышки барбекю	Крылышки, перец чили, чеснок, зеленый лук, барбекю соус	Wings
2	Pizza &amp; Wing	40	Крылышки терияки	Крылышки, чеснок, соус терияки, соус соевый, соль, перец	Wings
3	BURGER 160°	50	Трио минибургеров	Булочки бриошь, лист салата, стейк, говяжая котлета, куриная котлета, , солёный огурец, помидоры, лук репчатый, соуса	Burgers
3	BURGER 160°	55	Шримпбургер	Булочка бриошь, говяжая котлета, креветка, огурец, помидор, лист салата, соуса	Burgers
3	BURGER 160°	56	Чикенбургер	Булочка бриошь, куриная котлета, лист салата, лук, солёные огурецы, помидоры, соуса	Burgers
3	BURGER 160°	57	Чизбургер	Булочка бриошь, говяжая котлета, помидоры, огурец солёный, лист салата, сыр плавленный, лук, соуса	Burgers
3	BURGER 160°	61	Чизбургер с беконом	Булочка бриошь, котлета говяжая, бекон, сыр плавленный, огурец солёный, помидоры, лист салата, лук репчатый, соуса	Burgers
3	BURGER 160°	62	Торн-чикенбургер	Булочка бриошь, помидоры, лист салата, огурец солёный, лук репчатый, сыр плавленный, куриное филе, соуса	Burgers
3	BURGER 160°	63	Веганбургер	Булочка бриошь, овощи на гриле, огурец свежий, лук репчатый, сыр тофу, лист салата, соуса	Burgers
3	BURGER 160°	64	Бургер классик	Булочка бриошь, говяжая котлета, помидоры, огурец солёный, лист салата, лук репчатый, соуса	Burgers
3	BURGER 160°	65	Блэк чикенбургер	Булочка бриошь, куриная котлета, помидоры, лист салата, огурец солёный, лук репчатый, соуса	Burgers
3	BURGER 160°	66	Блэк чизбургер	Булочка бриошь, котлета говяжая, сыр плавленый, помидоры, лист салата, огурец солёный, лук репчатый, соуса	Burgers
3	BURGER 160°	67	Блэк бургер	Булочка бриошь, котлета говяжая, помидоры, лист салата, огурец солёный, лук репчатый, соуса	Burgers
3	BURGER 160°	68	Бифбургер с овощами гриль	Булочка бриошь, стейк, лист салата, овощи на гриле, лук, солённые огурецы, соуса	Burgers
3	BURGER 160°	69	Стейкбургер	Булочка бриошь, стейк, сыр плавленый, огурец солёный, помидоры, лист салата, лук репчатый, соуса	Burgers
3	BURGER 160°	70	Бургер XXL	Булочка бриошь, котлеты говяжие, сыр плавленый, огурец солёный, помидоры, лист салата, лук репчатый, соуса	Burgers
3	BURGER 160°	49	Руккола - апельсин	Руккола, апельсины, помидоры, вяленные помидоры, балзамика, соль, перец, орешки кедровые	Salads
3	BURGER 160°	58	Цезарь - тунец	Тунец, капуста пекинская, латук, черри, пармезан, сухарики, перепелиные яйца, соус цезарь	Salads
3	BURGER 160°	59	Цезарь - куриная грудка	Куриная грудка, капуста пекинская, латук, черри, перепелиные яйца, пармезан, сухарики, соус цезарь	Salads
3	BURGER 160°	60	Цезарь - креветки	Капуста пекинская, креветки, пармезан, латук, черри, перепелиные яйца, сухарики, соус цезарь	Salads
3	BURGER 160°	51	Картофель Фри	картофель, соль	Snacks
3	BURGER 160°	52	Крем суп из шампиньонов	Шампиньоны, лук репчатый, сливки, чеснок, соль, перец	Soups
3	BURGER 160°	53	Крем суп из тыквы	Тыква, лук репчатый, базилик, чеснок, соль, перец	Soups
3	BURGER 160°	54	Крем суп из баклажанов	Баклажаны, лук репчатый, базилик, чеснок, соль, перец	Soups
4	SUSHI.GOOD	72	Запеченные роллы сакура	Рис, нори, икра летучей рыбы, крем сыр, лосось, сырный соус	Baked Rolls
4	SUSHI.GOOD	93	Запеченные роллы с угрем	Рис, угорь, нори, огурец, крем сыр, спайс соус, унаги соус, кунжут 8шт	Baked Rolls
4	SUSHI.GOOD	94	Запеченные роллы с сыром	Рис, Нори, огурец, крем сыр, сырный соус 8шт	Baked Rolls
4	SUSHI.GOOD	95	Запеченные роллы с мидии	Рис, нори, мидия, огурец, лук зеленый, лимон, крем сыр, спайс соус 8шт	Baked Rolls
4	SUSHI.GOOD	96	запеченные роллы с лососем	Рис, нори, лосось, огурец, крем сыр, спайс соус 8шт	Baked Rolls
4	SUSHI.GOOD	97	Запеченные роллы с курицей	Рис, нори, курица, огурец, крем сыр, сырный соус, кунжут 8шт	Baked Rolls
4	SUSHI.GOOD	98	Запеченные роллы с креветками	Рис, нори, креветки, огурецы, крем сыр, спайс соус 8шт	Baked Rolls
4	SUSHI.GOOD	83	Калифорния с мидиями	Рис, лосось, огурец, нори, крабовые палочки, спайс соус, икра летучей рыбы 8шт	California
4	SUSHI.GOOD	84	Калифорния с лососем	Рис, лосось, огурец, нори, крабовые палочки, спайс соус, икра летучей рыбы 8шт	California
4	SUSHI.GOOD	85	Калифорния с угрём	Рис, угорь, нори, огурец, крабовые палочки, спайс соус, кунжут 8шт	California
4	SUSHI.GOOD	86	Калифорния с креветкой	Рис, нори, креветки, огурецы, крабовые палочки, спайс соус, икра летучей рыбы 8шт	California
4	SUSHI.GOOD	87	Калифорния с тунцом	Рис, нори, тунец, огурец, крабовые палочки, спайс соус, икра летучей рыбы 8шт	California
4	SUSHI.GOOD	107	Калифорния с крабом и икрой летучей рыбы	Рис, нори, крабовые палочки, огурец, икра летучей рыбы, кунжут 8шт	California
4	SUSHI.GOOD	108	Калифорния с крабом	Рис, нори, огурец, крабовые палочки, спайс соус, кунжут 8шт	California
4	SUSHI.GOOD	99	Роллы "Золотой Дракон"	Рис, угорь, огурец, крабовые палочки, соус унаги, кунжут 8шт	Dragons
4	SUSHI.GOOD	130	Ролл "Красный Дракон"	Рис, лосось, крабовые палочки, огурец, икра летучей рыбы 8шт	Dragons
4	SUSHI.GOOD	131	Ролл "Зеленый Дракон"	Рис, нори, лосось, угорь, авакадо, огурецы, сырный соус 8шт	Dragons
4	SUSHI.GOOD	80	Роллы футомаки с креветками	Рис, нори, креветки, огурецы, крем сыр, крабовые палочки 8шт	Futomaki
4	SUSHI.GOOD	79	Роллы футомаки с лососем	Рис, огурец, нори, крем сыр, лосось, крабовые палочки 8шт	Futomaki
4	SUSHI.GOOD	81	Роллы футомаки с тунцом	Рис, тунец, нори, огурецы, крабовые палочки, крем сыр 8шт	Futomaki
4	SUSHI.GOOD	82	Роллы футомаки с угрём	Рис, нори, угорь, крем сыр, огурецы, крабовые палочки 8шт	Futomaki
4	SUSHI.GOOD	109	Гункан с лососем	Рис, нори, лосось, спайс соус, икра летучей рыбы 2шт	Gunkans
4	SUSHI.GOOD	110	Гункан с крабом	Рис, нори, крабовые палочки, спайс соус, соус унаги 2шт	Gunkans
4	SUSHI.GOOD	111	Гункан с курицей	Рис, нори, курица, спайс соус, соус унаги 2шт	Gunkans
4	SUSHI.GOOD	112	Гункан с угрём	Рис, нори, угорь, спайс соус, соус унаги, кунжут 2шт	Gunkans
4	SUSHI.GOOD	113	Гункан с креветкой	Рис, нори, креветка, спайс соус, икра летучей рыбы 2шт	Gunkans
4	SUSHI.GOOD	114	Гункан с тунцом	Рис, нори, тунец, спайс соус 2шт	Gunkans
4	SUSHI.GOOD	115	Гункан Инь-Янь	Рис, нори, огурец, икра летучей рыбы 2шт	Gunkans
4	SUSHI.GOOD	116	Гункан Инь-Янь	Рис, нори, огурец, икра летучей рыбы 2шт	Gunkans
4	SUSHI.GOOD	117	Гункан Грин	Рис, нори, огурец, крем сыр, икра летучей рыбы 2шт	Gunkans
4	SUSHI.GOOD	88	Маки с угрём	Рис, нори, угорь, соус унаги, кунжут 8шт	Maki
4	SUSHI.GOOD	89	Маки с огурцом	Рис, огурец, нори, кунжут 8шт	Maki
4	SUSHI.GOOD	90	Маки с тунцом	Рис, нори, тунец, соус чили 8шт	Maki
4	SUSHI.GOOD	91	Маки с лососем	Рис, нори, лосось, соус чили 8шт	Maki
4	SUSHI.GOOD	92	Маки с креветкой	Рис, креветки, нори, спайс соус 8шт	Maki
4	SUSHI.GOOD	73	Филадельфия грин	Рис, крем сыр, огурец, чука водоросли, нори, кунжут	Philadelphia
4	SUSHI.GOOD	74	Филадельфия гриль	Рис, нори, лосось, огурец, крем сыр, икра летучей рыбы	Philadelphia
4	SUSHI.GOOD	100	Филадельфия	Рис, нори, лосось, огурец, крем сыр, икра летучей рыбы 8шт	Philadelphia
4	SUSHI.GOOD	101	Филадельфия с тунцом	Рис, нори, тунец, огурец, крем сыр, соус чили 8шт	Philadelphia
4	SUSHI.GOOD	102	Филадельфия лайт	Рис, лосось, нори, крабовые палочки, крем сыр 8шт	Philadelphia
4	SUSHI.GOOD	103	Филадельфия роял	Рис, нори, лосось, огурец, крабовые палочки, крем сыр 8шт	Philadelphia
4	SUSHI.GOOD	104	Филадельфия с креветкой	Рис, нори, креветки, огурец, крем сыр, соус унаги 8шт	Philadelphia
4	SUSHI.GOOD	105	Филадельфия дабл чиз	Рис, нори, курица, крем сыр, плавленный сыр, спайс соус 8шт	Philadelphia
4	SUSHI.GOOD	106	Филадельфия с угрем	Рис, нори, угорь, огурец, крем сыр, соус унаги, кунжут 8шт	Philadelphia
4	SUSHI.GOOD	75	Сет "Лосось" 24 шт	Филадельфия - 4 шт, Филадельфия гриль - 4 шт, Сяки маки - 8 шт, Филадельфия лайт - 8 шт	Sets
4	SUSHI.GOOD	76	Сет "Филадельфия" 32 шт	Филадельфия лайт - 8 шт, Филадельфия роял - 8 шт, Филадельфия грин - 8 шт, Филадельфия гриль - 8 шт	Sets
4	SUSHI.GOOD	77	Сет "Калифорния" 32 шт	Калифорния с крабом - 8 шт, Калифорния с лососем - 8 шт, Калифорния с креветками - 8 шт, Калифорния с угрём - 8 шт	Sets
4	SUSHI.GOOD	78	Сет "Жара" 32 шт	Темпура микс - 8 шт, Запечённые роллы с курицей - 8 шт, Запечённые роллы с сыром - 8 шт, Спайс ролл с тунцом - 8 шт	Sets
4	SUSHI.GOOD	119	Том Ям	Бульон том ям, мидии в раковине, креветки, кольцо кальмара, черри, лук, лимон, сливки, грибы, кинза, кунжут	Soups
4	SUSHI.GOOD	120	Мисо суп с тунцом	Бульон для мисо, тунец, ваками водоросли, тофу, кунжут	Soups
4	SUSHI.GOOD	121	Мисо суп с лососем	Бульон для мисо, лосось, тофу, ваками водоросли, кунжут	Soups
4	SUSHI.GOOD	122	Мисо суп с креветками	Бульон для мисо, креветки, тофу, ваками водоросли, кунжут	Soups
4	SUSHI.GOOD	126	Спайс ролл с тунцом	Рис, нори, тунец, огурец, спайс соус, крем сыр 8шт	Spicy Rolls
4	SUSHI.GOOD	127	Спайс ролл с угрем	Рис, нори, Угорь, спайс соус, огурец, крем сыр 8шт	Spicy Rolls
4	SUSHI.GOOD	128	Спайс ролл с лососем	Рис, нори, лосось, огурец, спайс соус, крем сыр 8шт	Spicy Rolls
4	SUSHI.GOOD	129	Спайс ролл с креветкой	Рис, нори, креветка, огурец, спайс соус, крем сыр 8шт	Spicy Rolls
4	SUSHI.GOOD	118	Роллы темпура микс	Рис, нори, креветка, угорь, лосось, темпура кляр, спайс соус 8шт	Tempura Rolls
4	SUSHI.GOOD	123	Роллы темпура с креветками	Рис, нори, креветки, огурецы, темпура кляр, крем сыр 8шт	Tempura Rolls
4	SUSHI.GOOD	124	Роллы темпура с тунцом	Рис, нори, тунец, огурец, темпура кляр, крем сыр 8шт	Tempura Rolls
4	SUSHI.GOOD	125	Роллы темпура с лососем	Рис, нори, лосось, огурец, темпура кляр, крем сыр 8шт	Tempura Rolls
