id,name_ru,name_en,name_tm,short_description_ru,short_description_en,short_description_tm,description_ru,description_en,description_tm,ingredients_ru,ingredients_en,ingredients_tm
12,Лакомка на мангале,Lakomka Kebab,Lakomka kebaby,"Сочно, дымно и по-настоящему мясно. Состав: Говяжий фарш в жировой сетке, помидор","Juicy, smoky, and deeply meaty. Ingredients: Говяжий фарш в жировой сетке, помидор","Shireli, tusse ysly we hakyky et tagamly. Duzumi: Говяжий фарш в жировой сетке, помидор","Лакомка на мангале раскрывается особенно ярко благодаря сочетанию Говяжий фарш в жировой сетке, помидор. Блюдо получается сочным, понятным и очень аппетитным.","Lakomka Kebab comes together around Говяжий фарш в жировой сетке, помидор. The result is flavorful, confident, and deeply satisfying.","Lakomka kebaby Говяжий фарш в жировой сетке, помидор bilen ayratyn achylyar. Netijede tagamy doly, dusnukli we oren ishdeachar bolyar.",,,
13,Куриная грудка на углях,Chargrilled Chicken Breast,Kozde towuk doshi,"Нежно, ароматно и с хорошим жаром. Состав: Куриное филе, лук, зелень","Tender, fragrant, and beautifully charred. Ingredients: Куриное филе, лук, зелень","Nazik, hoshboy we gowy gowrulan. Duzumi: Куриное филе, лук, зелень","Куриная грудка на углях раскрывается особенно ярко благодаря сочетанию Куриное филе, лук, зелень. Блюдо получается сочным, понятным и очень аппетитным.","Chargrilled Chicken Breast comes together around Куриное филе, лук, зелень. The result is flavorful, confident, and deeply satisfying.","Kozde towuk doshi Куриное филе, лук, зелень bilen ayratyn achylyar. Netijede tagamy doly, dusnukli we oren ishdeachar bolyar.",,,
14,Качалдаки,Kachaldaki,Kachaldaki,"Нежно, ароматно и с хорошим жаром. Состав: Качкалдаки, лук, зелень","Tender, fragrant, and beautifully charred. Ingredients: Качкалдаки, лук, зелень","Nazik, hoshboy we gowy gowrulan. Duzumi: Качкалдаки, лук, зелень","Качалдаки раскрывается особенно ярко благодаря сочетанию Качкалдаки, лук, зелень. Блюдо получается сочным, понятным и очень аппетитным.","Kachaldaki comes together around Качкалдаки, лук, зелень. The result is flavorful, confident, and deeply satisfying.","Kachaldaki Качкалдаки, лук, зелень bilen ayratyn achylyar. Netijede tagamy doly, dusnukli we oren ishdeachar bolyar.",,,
15,Баранина,Grilled Lamb,Mangal goyun eti,"Сочно, дымно и по-настоящему мясно. Состав: Баранина, лук, зелень","Juicy, smoky, and deeply meaty. Ingredients: Баранина, лук, зелень","Shireli, tusse ysly we hakyky et tagamly. Duzumi: Баранина, лук, зелень","Баранина раскрывается особенно ярко благодаря сочетанию Баранина, лук, зелень. Блюдо получается сочным, понятным и очень аппетитным.","Grilled Lamb comes together around Баранина, лук, зелень. The result is flavorful, confident, and deeply satisfying.","Mangal goyun eti Баранина, лук, зелень bilen ayratyn achylyar. Netijede tagamy doly, dusnukli we oren ishdeachar bolyar.",,,
16,Голень курицы,Chicken Drumstick,Towuk budu,"Нежно, ароматно и с хорошим жаром. Состав: Голень курицы, лук, зелень","Tender, fragrant, and beautifully charred. Ingredients: Голень курицы, лук, зелень","Nazik, hoshboy we gowy gowrulan. Duzumi: Голень курицы, лук, зелень","Голень курицы раскрывается особенно ярко благодаря сочетанию Голень курицы, лук, зелень. Блюдо получается сочным, понятным и очень аппетитным.","Chicken Drumstick comes together around Голень курицы, лук, зелень. The result is flavorful, confident, and deeply satisfying.","Towuk budu Голень курицы, лук, зелень bilen ayratyn achylyar. Netijede tagamy doly, dusnukli we oren ishdeachar bolyar.",,,
17,Печень в жировой сетке,Liver in Caul Fat,Yag torundaky bagyr,"Сочно, дымно и по-настоящему мясно. Состав: Печень в жировой сетке, лук, зелень","Juicy, smoky, and deeply meaty. Ingredients: Печень в жировой сетке, лук, зелень","Shireli, tusse ysly we hakyky et tagamly. Duzumi: Печень в жировой сетке, лук, зелень","Печень в жировой сетке раскрывается особенно ярко благодаря сочетанию Печень в жировой сетке, лук, зелень. Блюдо получается сочным, понятным и очень аппетитным.","Liver in Caul Fat comes together around Печень в жировой сетке, лук, зелень. The result is flavorful, confident, and deeply satisfying.","Yag torundaky bagyr Печень в жировой сетке, лук, зелень bilen ayratyn achylyar. Netijede tagamy doly, dusnukli we oren ishdeachar bolyar.",,,
18,Перепёлки,Quails,Bedeneler,"Нежно, ароматно и с хорошим жаром. Состав: Перепёлки, лук, зелень","Tender, fragrant, and beautifully charred. Ingredients: Перепёлки, лук, зелень","Nazik, hoshboy we gowy gowrulan. Duzumi: Перепёлки, лук, зелень","Перепёлки раскрывается особенно ярко благодаря сочетанию Перепёлки, лук, зелень. Блюдо получается сочным, понятным и очень аппетитным.","Quails comes together around Перепёлки, лук, зелень. The result is flavorful, confident, and deeply satisfying.","Bedeneler Перепёлки, лук, зелень bilen ayratyn achylyar. Netijede tagamy doly, dusnukli we oren ishdeachar bolyar.",,,
19,Куриное люля,Chicken Lyulya,Towuk lule kebaby,"Нежно, ароматно и с хорошим жаром. Состав: Куриный фарш, лук, зелень","Tender, fragrant, and beautifully charred. Ingredients: Куриный фарш, лук, зелень","Nazik, hoshboy we gowy gowrulan. Duzumi: Куриный фарш, лук, зелень","Куриное люля раскрывается особенно ярко благодаря сочетанию Куриный фарш, лук, зелень. Блюдо получается сочным, понятным и очень аппетитным.","Chicken Lyulya comes together around Куриный фарш, лук, зелень. The result is flavorful, confident, and deeply satisfying.","Towuk lule kebaby Куриный фарш, лук, зелень bilen ayratyn achylyar. Netijede tagamy doly, dusnukli we oren ishdeachar bolyar.",,,
20,Курица,Grilled Chicken,Mangal towuk,"Нежно, ароматно и с хорошим жаром. Состав: Курица, лук, зелень","Tender, fragrant, and beautifully charred. Ingredients: Курица, лук, зелень","Nazik, hoshboy we gowy gowrulan. Duzumi: Курица, лук, зелень","Курица раскрывается особенно ярко благодаря сочетанию Курица, лук, зелень. Блюдо получается сочным, понятным и очень аппетитным.","Grilled Chicken comes together around Курица, лук, зелень. The result is flavorful, confident, and deeply satisfying.","Mangal towuk Курица, лук, зелень bilen ayratyn achylyar. Netijede tagamy doly, dusnukli we oren ishdeachar bolyar.",,,
21,Куриные крылышки,Chicken Wings,Towuk ganatlary,"Нежно, ароматно и с хорошим жаром. Состав: Куриные крылышки, лук, зелень","Tender, fragrant, and beautifully charred. Ingredients: Куриные крылышки, лук, зелень","Nazik, hoshboy we gowy gowrulan. Duzumi: Куриные крылышки, лук, зелень","Куриные крылышки раскрывается особенно ярко благодаря сочетанию Куриные крылышки, лук, зелень. Блюдо получается сочным, понятным и очень аппетитным.","Chicken Wings comes together around Куриные крылышки, лук, зелень. The result is flavorful, confident, and deeply satisfying.","Towuk ganatlary Куриные крылышки, лук, зелень bilen ayratyn achylyar. Netijede tagamy doly, dusnukli we oren ishdeachar bolyar.",,,
22,Цыпленок табака,Tabaka Chicken,Tabaka towugy,"Нежно, ароматно и с хорошим жаром. Состав: Цыпленок, лук, зелень","Tender, fragrant, and beautifully charred. Ingredients: Цыпленок, лук, зелень","Nazik, hoshboy we gowy gowrulan. Duzumi: Цыпленок, лук, зелень","Цыпленок табака раскрывается особенно ярко благодаря сочетанию Цыпленок, лук, зелень. Блюдо получается сочным, понятным и очень аппетитным.","Tabaka Chicken comes together around Цыпленок, лук, зелень. The result is flavorful, confident, and deeply satisfying.","Tabaka towugy Цыпленок, лук, зелень bilen ayratyn achylyar. Netijede tagamy doly, dusnukli we oren ishdeachar bolyar.",,,
23,Бараньи рёбрышки,Lamb Ribs,Goyun gapyrgalary,"Сочно, дымно и по-настоящему мясно. Состав: Бараньи рёбрышки, лук, зелень","Juicy, smoky, and deeply meaty. Ingredients: Бараньи рёбрышки, лук, зелень","Shireli, tusse ysly we hakyky et tagamly. Duzumi: Бараньи рёбрышки, лук, зелень","Бараньи рёбрышки раскрывается особенно ярко благодаря сочетанию Бараньи рёбрышки, лук, зелень. Блюдо получается сочным, понятным и очень аппетитным.","Lamb Ribs comes together around Бараньи рёбрышки, лук, зелень. The result is flavorful, confident, and deeply satisfying.","Goyun gapyrgalary Бараньи рёбрышки, лук, зелень bilen ayratyn achylyar. Netijede tagamy doly, dusnukli we oren ishdeachar bolyar.",,,
