item_id,merchant_id,restaurant_name,base_name,proposed_ru_name,existing_ru_name,existing_tk_name,proposed_en_name,proposed_tk_name,name_notes,base_short_description,proposed_ru_short_description,existing_ru_short_description,existing_tk_short_description,proposed_en_short_description,proposed_tk_short_description,short_description_notes
11,1,FIRE IT UP!,Сет 1,Сет 1,,,Set 1,1-nji toplum,,"Качкалдак, перепёлка, цыплёнок, куриные крылья, картофель, помидор","Аркадак, перепёлка, цыплёнок, куриные крылья, картофель, помидор",,,"Arkadak, quail, chicken, chicken wings, potatoes, tomato","Arkadak, beden, towuk, towuk ganaty, kartoşka, pomidor",language-tool:short_description | Возможно найдена орфографическая ошибка.
12,1,FIRE IT UP!,Лакомка,Лакомка,,,Gourmand,Gourmand,,"Жир сетка, фарш, помидор","Жир сетка, фарш, помидор",,,"Fat mesh, minced meat, tomato","Fatagly mesh, ownuk et, pomidor",
13,1,FIRE IT UP!,Куриная грудка на углях,Куриная грудка на углях,,,Chicken breast on coals,Kömürdäki towuk göwsi,,"Куриное филе, лук, зелень","Куриное филе, лук, зелень",,,"Chicken fillet, onion, greens","Towuk filesi, sogan, gök önümler",
14,1,FIRE IT UP!,Качкалдаки,Аркадаки,,,Arkadaki,Arkadaki,language-tool:name | Возможно найдена орфографическая ошибка.,"Качкалдаки, лук, зелень","Аркадаки, лук, зелень",,,"Arkadaki, onions, greens","Arkadaki, sogan, gök önümler",language-tool:short_description | Возможно найдена орфографическая ошибка.
15,1,FIRE IT UP!,Баранина,Баранина,,,Mutton,Goýun,,"Баранина, лук, зелень","Баранина, лук, зелень",,,"Lamb, onion, greens","Guzy, sogan, gök önümler",
16,1,FIRE IT UP!,Голень курицы,Голень курицы,,,Chicken drumstick,Towuk deprek,,"Голень курицы, лук, зелень","Голень курицы, лук, зелень",,,"Chicken drumstick, onion, greens","Towuk deprek, sogan, gök önümler",
17,1,FIRE IT UP!,Печень в жиру,Печень в жиру,,,Liver in fat,Fatagdaky bagyr,,"Печени в жировой сетке, лук, зелень","Печени в жировой сетке, лук, зелень",,,"Livers in fat mesh, onions, greens","Fatagly torda, sogan, gök önümlerde ýaşaýanlar",
18,1,FIRE IT UP!,Перепёлки,Перепёлки,,,Quails,Bedenler,,"Перепёлки, лук, зелень","Перепёлки, лук, зелень",,,"Quails, onions, greens","Beden, sogan, gök önümler",
19,1,FIRE IT UP!,Куриное люля,Куриное люля,,,Chicken lula,Towuk lula,,"Куриный фарш, лук, зелень","Куриный фарш, лук, зелень",,,"Minced chicken, onion, greens","Ownuk towuk, sogan, gök önümler",
20,1,FIRE IT UP!,Курица,Курица,,,Chicken,Towuk,,"Курица, лук, зелень","Курица, лук, зелень",,,"Chicken, onion, greens","Towuk, sogan, gök önümler",
21,1,FIRE IT UP!,Куриные крылышки,Куриные крылышки,,,Chicken wings,Towuk ganatlary,,"Куриные крылышки, лук, зелень","Куриные крылышки, лук, зелень",,,"Chicken wings, onions, greens","Towuk ganatlary, sogan, gök önümler",
22,1,FIRE IT UP!,Цыпленок табака,Цыпленок табака,,,Chicken tabaka,Towuk tabaka,,"Цыпленок, лук, зелень","Цыпленок, лук, зелень",,,"Chicken, onion, greens","Towuk, sogan, gök önümler",
23,1,FIRE IT UP!,Бараньи рёбрышки,Бараньи рёбрышки,,,Lamb ribs,Guzynyň gapyrgalary,,"Бараньи рёбрышки, лук, зелень","Бараньи рёбрышки, лук, зелень",,,"Lamb ribs, onion, greens","Guzynyň gapyrgalary, sogan, gök önümler",
24,2,Pizza &amp; Wing,ПП Пицца,ПП Пицца,,,PP Pizza,PP Pitsa,,"Тесто для пиццы, красный соус, шампиньон, кабачки, баклажаны, болгарский перец, помидоры, моцарелла, ароматное масло","Тесто для пиццы, красный соус, шампиньон, кабачки, баклажаны, болгарский перец, помидоры, моцарелла, ароматное масло",,,"Pizza dough, red sauce, champignon, zucchini, eggplant, bell pepper, tomatoes, mozzarella, aromatic oil","Pitsa hamyry, gyzyl sous, şampignon, nahar, baklajan, jaň burç, pomidor, mozarella, ysly ýag",
25,2,Pizza &amp; Wing,Мясное изобилие,Мясное изобилие,,,Meat abundance,Et bollygy,,"Тесто для пиццы, красный соус, курица, капчёная колбасы, бекон, ветчина, моцарелла, помидор, сладкий перец, лук репчатый, ароматное масло","Тесто для пиццы, красный соус, курица, копчёная колбасы, бекон, ветчина, моцарелла, помидор, сладкий перец, лук репчатый, ароматное масло",,,"Pizza dough, red sauce, chicken, smoked sausage, bacon, ham, mozzarella, tomato, bell pepper, onion, aromatic oil","Pitsa hamyry, gyzyl sous, towuk, kakadylan kolbasa, doňuz, hamam, mozarella, pomidor, jaň burç, sogan, ysly ýag",language-tool:short_description | Возможно найдена орфографическая ошибка.
30,2,Pizza &amp; Wing,Суп-пюре с курицей,Купюре с курицей,,,Chicken bill,Towuk hasaby,language-tool:name | Возможно найдена орфографическая ошибка.,"Курица, куриный бульон, картофель, морковь, сливки, укроп","Курица, куриный бульон, картофель, морковь, сливки, укроп",,,"Chicken, chicken broth, potatoes, carrots, cream, dill","Towuk, towuk çorbasy, kartoşka, käşir, krem, ukrop",
31,2,Pizza &amp; Wing,Суп куриный с лапшой,Суп куриный с лапшой,,,Chicken noodle soup,Towuk nahary çorbasy,,"Бульон куриный, курица, овощи свежие, лапша, укроп","Бульон куриный, курица, овощи свежие, лапша, укроп",,,"Chicken broth, chicken, fresh vegetables, noodles, dill","Towuk çorbasy, towuk, täze gök önümler, nahar, ukrop",
32,2,Pizza &amp; Wing,Цезарь с креветками,Цезарь с креветками,,,Caesar with shrimp,Käşir bilen Sezar,,"Креветки, капуста пекинская, лист салата, черри, пармезан, яйцо перепелиные, сухари, соус","Креветки, капуста пекинская, лист салата, черри, пармезан, яйцо перепелиные, сухари, соус",,,"Shrimp, Chinese cabbage, lettuce, cherry tomatoes, Parmesan, quail egg, crackers, sauce","Käşir, hytaý kelem, salat, alça pomidor, Parmesan, beden ýumurtgasy, kraker, sous",
33,2,Pizza &amp; Wing,Цезарь с куриной грудкой,Цезарь с куриной грудкой,,,Caesar with chicken breast,Towuk göwsi bilen Sezar,,"Капуста пекинская, латук, курица,черри, пармезан, сухари, яйцы перепелиные, белый соус","Капуста пекинская, латук, курица, черри, пармезан, сухари, яйцо перепелиные, белый соус",,,"Chinese cabbage, lettuce, chicken, cherry tomatoes, parmesan, crackers, quail egg, white sauce","Hytaý kelem, salat, towuk, alça pomidor, parmesan, kraker, beden ýumurtgasy, ak sous",language-tool:short_description | Поставьте пробел после запятой. | Возможно найдена орфографическая ошибка.
34,2,Pizza &amp; Wing,Цезарь с тунцом,Цезарь с тунцом,,,Caesar with tuna,Tuna bilen Sezar,,"Капуста пекинская, лист салата, тунец,черри, пармезан, сухари, яйцо перепелиные, сливочный соус","Капуста пекинская, лист салата, тунец, черри, пармезан, сухари, яйцо перепелиные, сливочный соус",,,"Chinese cabbage, lettuce, tuna, cherry tomatoes, parmesan, breadcrumbs, quail egg, cream sauce","Hytaý kelem, salat, tuna, alça pomidor, parmesan, çörek bölekleri, beden ýumurtgasy, krem ​​sousy",language-tool:short_description | Поставьте пробел после запятой.
35,2,Pizza &amp; Wing,Крылышки панко,Крылышки пункт,,,Wings item,Ganatlar elementi,language-tool:name | Возможно найдена орфографическая ошибка.,"Крылышки, чеснок, мука, крахмал кукурузный, паприка молотая","Крылышки, чеснок, мука, крахмал кукурузный, паприка молотая",,,"Wings, garlic, flour, corn starch, ground paprika","Ganatlar, sarymsak, un, mekgejöwen krahmaly, ýer paprika",
36,2,Pizza &amp; Wing,Крылышки KFC,Крылышки КFС,,,KFC wings,KFC ganatlary,mixed-script,"Крылышки, чеснок, мука, крахмал кукурузный, паприка молотая","Крылышки, чеснок, мука, крахмал кукурузный, паприка молотая",,,"Wings, garlic, flour, corn starch, ground paprika","Ganatlar, sarymsak, un, mekgejöwen krahmaly, ýer paprika",
37,2,Pizza &amp; Wing,Крылышки баффало,Крылышки Буффало,,,Buffalo wings,Buffalo ganatlary,language-tool:name | Возможно найдена орфографическая ошибка.,"Крылышки, красный соус, кетчуп острый, чеснок, бибяр, кунжут, лук зелaеный","Крылышки, красный соус, кетчуп острый, чеснок, биб яр, кунжут, лук зеленый",,,"Wings, red sauce, hot ketchup, garlic, bib yar, sesame, green onion","Ganatlar, gyzyl sous, gyzgyn ketçup, sarymsak, bib ýüpi, künji, ýaşyl sogan",mixed-script | language-tool:short_description | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка.
38,2,Pizza &amp; Wing,Крылышки горчично-медовом соусе,Крылышки горчично-медовом соусе,,,Wings in honey mustard sauce,Bal gorçisa sousundaky ganatlar,,"Крылышки, чеснок, мёд, кинза, кунжут, соуса","Крылышки, чеснок, мёд, кинза, кунжут, соуса",,,"Wings, garlic, honey, cilantro, sesame, sauce","Ganatlar, sarymsak, bal, silantro, künji, sous",
39,2,Pizza &amp; Wing,Крылышки барбекю,Крылышки барбекю,,,BBQ wings,BBQ ganatlary,,"Крылышки, перец чили, чеснок, зеленый лук, барбекю соус","Крылышки, перец чили, чеснок, зеленый лук, барбекю соус",,,"Wings, chili peppers, garlic, green onions, barbecue sauce","Ganatlar, çili burç, sarymsak, ýaşyl sogan, mangal sousy",
40,2,Pizza &amp; Wing,Крылышки терияки,Крылышки терияки,,,Teriyaki wings,Teriýaki ganatlary,,"Крылышки, чеснок, соус терияки, соус соевый, соль, перец","Крылышки, чеснок, соус терияки, соус соевый, соль, перец",,,"Wings, garlic, teriyaki sauce, soy sauce, salt, pepper","Ganatlar, sarymsak, teriýaki sousy, soýa sousy, duz, burç",
41,2,Pizza &amp; Wing,Поло э фунги,Поло э фанге,,,Polo e fange,Polo e fange,language-tool:name | Возможно найдена орфографическая ошибка.,"Тесто для пиццы, курица, грибы, пармезан, моцарелла, сливочный соус, соус цезарь, ароматное масло, петрушка","Тесто для пиццы, курица, грибы, пармезан, моцарелла, сливочный соус, соус цезарь, ароматное масло, петрушка",,,"Pizza dough, chicken, mushrooms, parmesan, mozzarella, cream sauce, Caesar sauce, aromatic oil, parsley","Pitsa hamyry, towuk, kömelek, parmesan, mozarella, krem ​​sousy, Sezar sousy, ysly ýag, petruşka",
42,2,Pizza &amp; Wing,Скандинавская с курицей — викинги бы одобрили,Скандинавская с курицей — викинги бы одобрили,,,Scandinavian with chicken - the Vikings would approve,Towuk bilen skandinawiýa - wikingler makullardy,,"Курица и бекон — северные братья. Руккола и черри притворяются салатом, но сыр и соус всё решают. Маслины и масло унесут тебя на фьорды прямо с дивана. Съел кусок — и хочется в мех и кричать «Йоу!».","Курица и бекон — северные братья. Руккола и черри притворяются салатом, но сыр и соус всё решают. Маслины и масло унесут тебя на фьорды прямо с дивана. Съел кусок — и хочется в мех и кричать «Шоу!».",,,"Chicken and bacon are brothers of the north. Arugula and cherry tomatoes pretend to be salad, but the cheese and sauce make all the difference. Olives and butter will take you to the fjords right from your couch. I ate a piece and I want to punch my fur and shout “Show!”","Towuk we doňuz eti demirgazykdaky doganlar. Arugula we alça pomidorlary salat ýaly görünýär, ýöne peýnir we sous tapawudy bar. Zeýtun we ýag sizi düşegiňizden göni fjordlara alyp barar. Bir bölek iýdim, sütüklerimi gysyp, “Görkez!” Diýip gygyrasym gelýär.",language-tool:short_description | Возможно найдена орфографическая ошибка.
43,2,Pizza &amp; Wing,Ростбиф с чили,Ростбиф с чили,,,Roast beef with chili,Çili bilen sygyr etini gowurmaly,,"Тесто для пиццы, красный соус, говядина, моцарелла, пармезан, холопеньо, лук репчатый, лук зеленый, шрирача, ароматное масло","Тесто для пиццы, красный соус, говядина, моцарелла, пармезан, халапеньо, лук репчатый, лук зеленый, приручу, ароматное масло",,,"Pizza dough, red sauce, beef, mozzarella, parmesan, jalapeno, onion, green onion, primu, aromatic oil","Pitsa hamyry, gyzyl sous, sygyr eti, mozarella, parmesan, jalapeno, sogan, ýaşyl sogan, primu, ysly ýag",language-tool:short_description | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка.
44,2,Pizza &amp; Wing,Груша с голубым сыром,Груша с голубым сыром,,,Pear with blue cheese,Gök peýnir bilen armut,,"Тесто для пиццы, соус сливочный, груша, дор блю, мёд, грецкий орех, моцарелла, базилик, ароматное масло","Тесто для пиццы, соус сливочный, груша, Дор Лю, мёд, грецкий орех, моцарелла, базилик, ароматное масло",,,"Pizza dough, cream sauce, pear, Dor Liu, honey, walnut, mozzarella, basil, aromatic oil","Pitsa hamyry, krem ​​sousy, armut, Dor Liu, bal, hoz, mozarella, reyhan, ysly ýag",manual:дор блю->Дор Блю | language-tool:short_description | Возможно найдена орфографическая ошибка.
45,2,Pizza &amp; Wing,Сёмга и руккола,Сёмга и руккола,,,Salmon and arugula,Salmon we arugula,,"Тесто для пиццы, соус сливочный, лосось, каперси, крем чиз, сливки, руккола, микс черри, оливки, маслины, пармезан, ароматное масло","Тесто для пиццы, соус сливочный, лосось, каперсе, крем из, сливки, руккола, микс черри, оливки, маслины, пармезан, ароматное масло",,,"Pizza dough, cream sauce, salmon, capers, cream, arugula, cherry mix, olives, parmesan, aromatic oil","Pitsa hamyry, krem ​​sousy, losos, kepir, krem, arugula, alça garyndysy, zeýtun, parmesan, ysly ýag",language-tool:short_description | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка.
46,2,Pizza &amp; Wing,Охотничьи колбаски,Охотничьи колбаски,,,Hunter's sausages,Awçynyň kolbasa,,"Тесто для пиццы, красный соус, колбаса охотничяя, капчёная колбаса, сосиськи куриные, огурецы солёные, лук репчатый, моцарелла, ароматное масло","Тесто для пиццы, красный соус, колбаса охотничья, копчёная колбаса, сосиски куриные, огурец солёные, лук репчатый, моцарелла, ароматное масло",,,"Pizza dough, red sauce, hunting sausage, smoked sausage, chicken sausage, pickled cucumber, onion, mozzarella, aromatic oil","Pitsa hamyry, gyzyl sous, aw kolbasa, kakadylan kolbasa, towuk kolbasa, duzlanan hyýar, sogan, mozarella, ysly ýag",language-tool:short_description | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка.
47,2,Pizza &amp; Wing,Курица с ананасом,Курица с ананасом,,,Chicken with pineapple,Ananas bilen towuk,,"Тесто для пиццы, соус сливочный, курица, ветчина, моцарелла, оливки, ананас, кукуруза, ароматное масло","Тесто для пиццы, соус сливочный, курица, ветчина, моцарелла, оливки, ананас, кукуруза, ароматное масло",,,"Pizza dough, cream sauce, chicken, ham, mozzarella, olives, pineapple, corn, aromatic oil","Pitsa hamyry, krem ​​sousy, towuk, hamam, mozarella, zeýtun, ananas, mekgejöwen, ysly ýag",
48,2,Pizza &amp; Wing,Пять сыров,Пять сыров,,,Five cheeses,Bäş peýnir,,"Тесто для пиццы, соус сливочный, крем чиз, моцарелла, пармезан, дор блю, Чеддер, базилик, ароматное масло","Тесто для пиццы, соус сливочный, крем из, моцарелла, пармезан, Дор Лю, Чеддер, базилик, ароматное масло",,,"Pizza dough, cream sauce, cream, mozzarella, parmesan, Dor Liu, Cheddar, basil, aromatic oil","Pitsa hamyry, krem ​​sousy, krem, mozarella, parmesan, Dor Liu, Çeddar, reyhan, ysly ýag",manual:дор блю->Дор Блю | language-tool:short_description | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка.
49,3,BURGER 160°,Руккола - апельсин,Руккола - апельсин,,,Arugula - orange,Arugula - mämişi,,"Руккола, апельсины, помидоры, вяленные помидоры, балзамика, соль, перец, орешки кедровые","Руккола, апельсины, помидоры, вяленные помидоры, балтабека, соль, перец, орешки кедровые",,,"Arugula, oranges, tomatoes, sun-dried tomatoes, baltabeca, salt, pepper, pine nuts","Arugula, apelsin, pomidor, gün bilen guradylan pomidor, baltabeka, duz, burç, sosna hozy",language-tool:short_description | Возможно найдена орфографическая ошибка.
50,3,BURGER 160°,Трио минибургеров,Трио мини бургеров,,,Trio of mini burgers,Mini burger üçlügi,language-tool:name | Возможно найдена орфографическая ошибка.,"Булочки бриошь, лист салата, стейк, говяжая котлета, куриная котлета, , солёный огурец, помидоры, лук репчатый, соуса","Булочки бриошь, лист салата, стейк, говяжья котлета, куриная котлета,, солёный огурец, помидоры, лук репчатый, соуса",,,"Brioche buns, lettuce, steak, beef cutlet, chicken cutlet, pickled cucumber, tomatoes, onions, sauce","Brioche çörekleri, salat, biftek, sygyr eti, towuk eti, duzlanan hyýar, pomidor, sogan, sous","language-tool:short_description | Возможно найдена орфографическая ошибка. | Поставьте пробел после запятой, а не перед ней."
51,3,BURGER 160°,Картофель Фри,Картофель Фри,,,French fries,Fransuz gowurmalary,,"картофель, соль","Картофель, соль",,,"Potatoes, salt","Kartoşka, duz",language-tool:short_description | Это предложение не начинается с заглавной буквы.
52,3,BURGER 160°,Крем суп из шампиньонов,Крем суп из шампиньонов,,,Cream of champignon soup,Şampan çorbasynyň kremi,,"Шампиньоны, лук репчатый, сливки, чеснок, соль, перец","Шампиньоны, лук репчатый, сливки, чеснок, соль, перец",,,"Champignons, onions, cream, garlic, salt, pepper","Şampan, sogan, krem, sarymsak, duz, burç",
53,3,BURGER 160°,Крем суп из тыквы,Крем суп из тыквы,,,Cream of pumpkin soup,Kädi çorbasynyň kremi,,"Тыква, лук репчатый, базилик, чеснок, соль, перец","Тыква, лук репчатый, базилик, чеснок, соль, перец",,,"Pumpkin, onion, basil, garlic, salt, pepper","Kädi, sogan, reyhan, sarymsak, duz, burç",
54,3,BURGER 160°,Крем суп из баклажанов,Крем суп из баклажанов,,,Cream of eggplant soup,Bägül çorbasynyň kremi,,"Баклажаны, лук репчатый, базилик, чеснок, соль, перец","Баклажаны, лук репчатый, базилик, чеснок, соль, перец",,,"Eggplant, onion, basil, garlic, salt, pepper","Bägül, sogan, reyhan, sarymsak, duz, burç",
55,3,BURGER 160°,Шримпбургер,Шримпбургер,,,Shrimpburger,Shrimpburger,,"Булочка бриошь, говяжая котлета, креветка, огурец, помидор, лист салата, соуса","Булочка бриошь, говяжья котлета, креветка, огурец, помидор, лист салата, соуса",,,"Brioche bun, beef cutlet, shrimp, cucumber, tomato, lettuce, sauce","Brioche çöregi, sygyr eti, kepir, hyýar, pomidor, salat, sous",language-tool:short_description | Возможно найдена орфографическая ошибка.
56,3,BURGER 160°,Чикенбургер,Лиценбергер,,,Litzenberger,Litzenberger,language-tool:name | Возможно найдена орфографическая ошибка.,"Булочка бриошь, куриная котлета, лист салата, лук, солёные огурецы, помидоры, соуса","Булочка бриошь, куриная котлета, лист салата, лук, солёные огурец, помидоры, соуса",,,"Brioche bun, chicken cutlet, lettuce, onion, pickles, tomatoes, sauce","Brioche çöregi, towuk eti, salat, sogan, duz, pomidor, sous",language-tool:short_description | Возможно найдена орфографическая ошибка.
57,3,BURGER 160°,Чизбургер,Чизбургер,,,Cheeseburger,Cheeseburger,,"Булочка бриошь, говяжая котлета, помидоры, огурец солёный, лист салата, сыр плавленный, лук, соуса","Булочка бриошь, говяжья котлета, помидоры, огурец солёный, лист салата, сыр плавленый, лук, соуса",,,"Brioche bun, beef cutlet, tomatoes, pickled cucumber, lettuce, processed cheese, onion, sauce","Brioche çöregi, sygyr eti, pomidor, duzlanan hyýar, salat, gaýtadan işlenen peýnir, sogan, sous","language-tool:short_description | Возможно найдена орфографическая ошибка. | Прилагательное пишется с «н», зависимых слов нет: «плавленый»"
58,3,BURGER 160°,Цезарь - тунец,Цезарь - тунец,,,Caesar - tuna,Sezar - tuna,,"Тунец, капуста пекинская, латук, черри, пармезан, сухарики, перепелиные яйца, соус цезарь","Тунец, капуста пекинская, латук, черри, пармезан, сухарики, перепелиные яйца, соус цезарь",,,"Tuna, Chinese cabbage, lettuce, cherry tomatoes, Parmesan, croutons, quail eggs, Caesar sauce","Tuna, hytaý kelem, salat, alça pomidor, Parmesan, sogan, beden ýumurtgasy, Sezar sousy",
59,3,BURGER 160°,Цезарь - куриная грудка,Цезарь - куриная грудка,,,Caesar - chicken breast,Sezar - towuk göwsi,,"Куриная грудка, капуста пекинская, латук, черри, перепелиные яйца, пармезан, сухарики, соус цезарь","Куриная грудка, капуста пекинская, латук, черри, перепелиные яйца, пармезан, сухарики, соус цезарь",,,"Chicken breast, Chinese cabbage, lettuce, cherry tomatoes, quail eggs, Parmesan, croutons, Caesar sauce","Towuk göwsi, hytaý kelem, salat, alça pomidor, beden ýumurtgasy, Parmesan, sogan, Sezar sousy",
60,3,BURGER 160°,Цезарь - креветки,Цезарь - креветки,,,Caesar - shrimp,Sezar - gysga,,"Капуста пекинская, креветки, пармезан, латук, черри, перепелиные яйца, сухарики, соус цезарь","Капуста пекинская, креветки, пармезан, латук, черри, перепелиные яйца, сухарики, соус цезарь",,,"Chinese cabbage, shrimp, Parmesan, lettuce, cherry tomatoes, quail eggs, croutons, Caesar sauce","Hytaý kelem, karides, Parmesan, salat, alça pomidorlary, beden ýumurtgalary, sogan, Sezar sousy",
61,3,BURGER 160°,Чизбургер с беконом,Чизбургер с беконом,,,Cheeseburger with bacon,Bekon bilen peýnir,,"Булочка бриошь, котлета говяжая, бекон, сыр плавленный, огурец солёный, помидоры, лист салата, лук репчатый, соуса","Булочка бриошь, котлета говяжья, бекон, сыр плавленый, огурец солёный, помидоры, лист салата, лук репчатый, соуса",,,"Brioche bun, beef cutlet, bacon, processed cheese, pickled cucumber, tomatoes, lettuce, onion, sauce","Brioche çöregi, sygyr eti, doňuz eti, gaýtadan işlenen peýnir, duzlanan hyýar, pomidor, salat, sogan, sous","language-tool:short_description | Возможно найдена орфографическая ошибка. | Прилагательное пишется с «н», зависимых слов нет: «плавленый»"
62,3,BURGER 160°,Торн-чикенбургер,Торн-чикенбургер,,,Thorn Chicken Burger,Tiken towuk burgeri,,"Булочка бриошь, помидоры, лист салата, огурец солёный, лук репчатый, сыр плавленный, куриное филе, соуса","Булочка бриошь, помидоры, лист салата, огурец солёный, лук репчатый, сыр плавленый, куриное филе, соуса",,,"Brioche bun, tomatoes, lettuce, pickled cucumber, onion, processed cheese, chicken fillet, sauce","Brioche çöregi, pomidor, salat, duzlanan hyýar, sogan, gaýtadan işlenen peýnir, towuk filesi, sous","language-tool:short_description | Прилагательное пишется с «н», зависимых слов нет: «плавленый»"
63,3,BURGER 160°,Веганбургер,Веган бургер,,,Vegan burger,Wegan burger,language-tool:name | Возможно найдена орфографическая ошибка.,"Булочка бриошь, овощи на гриле, огурец свежий, лук репчатый, сыр тофу, лист салата, соуса","Булочка бриошь, овощи на гриле, огурец свежий, лук репчатый, сыр тофу, лист салата, соуса",,,"Brioche bun, grilled vegetables, fresh cucumber, onion, tofu cheese, lettuce, sauce","Brioche çöregi, panjara gök önümler, täze hyýar, sogan, tofu peýniri, salat, sous",
64,3,BURGER 160°,Бургер классик,Бургер классик,,,Burger classic,Burger klassik,,"Булочка бриошь, говяжая котлета, помидоры, огурец солёный, лист салата, лук репчатый, соуса","Булочка бриошь, говяжья котлета, помидоры, огурец солёный, лист салата, лук репчатый, соуса",,,"Brioche bun, beef cutlet, tomatoes, pickled cucumber, lettuce, onion, sauce","Brioche çöregi, sygyr eti, pomidor, duzlanan hyýar, salat, sogan, sous",language-tool:short_description | Возможно найдена орфографическая ошибка.
65,3,BURGER 160°,Блэк чикенбургер,Блэк чизбургер,,,Black cheeseburger,Gara peýnir,language-tool:name | Возможно найдена орфографическая ошибка.,"Булочка бриошь, куриная котлета, помидоры, лист салата, огурец солёный, лук репчатый, соуса","Булочка бриошь, куриная котлета, помидоры, лист салата, огурец солёный, лук репчатый, соуса",,,"Brioche bun, chicken cutlet, tomatoes, lettuce, pickled cucumber, onion, sauce","Brioche çöregi, towuk eti, pomidor, salat, duzlanan hyýar, sogan, sous",
